index,title,description,source,date
263,How Canada Is Dealing With Its Latest Tussle With President Trump,"Prime Minister Mark Carney is focusing on what the country can control, including looking for economic partnerships abroad, especially in Asia.",nytimes.com,2025-10-26T19:17:05Z
191,CTV National News: PM Carney promotes Canadian investment at G20 amid U.S. boycott,,ctvnews.ca,2025-11-22T12:00:00-05:00
480,More than 200 musicians demand Carney move away from fossil fuels,"'Canada is burning' reads the campaign's letter, signed by Sarah Harmer, Luna Li, Cris Derksen, the Weather Station and more.",cbc.ca,2025-09-12T14:10:11.000000Z
162,"Carney announces new supports for Canada’s lumber, steel sectors","OTTAWA — Amid the ongoing trade war with the United States, Prime Minister Mark Carney ...",ctvnews.ca,2025-11-26T12:00:00-05:00
49,Canada and India reset + The Crowns dangerous error,"Here’s the latest on Mark Carney and Narendra Modi’s trade plans, programs at George Brown being cut in Toronto but offered abroad and prosecutors",thestar.com,2025-11-24T07:30:00-05:00
357,Carney meets with world leaders as Ukraine faces 'intense' pressure to accept Trump's plan to end war,"Prime Minister Mark Carney is sitting down with the leaders of the U.K., Germany and the president of the European Council on the sidelines of the G20 to talk a...",cbc.ca,2025-11-22T13:26:13.000000Z
103,Carney says ‘constructive’ talks ongoing with Alberta about oil pipeline,Prime Minister Mark Carney on Sunday addressed speculation about whether an agreement is close for a new pipeline between Alberta and B.C.'s northern coast.,globalnews.ca,2025-11-23T16:11:14.000000Z
354,Brookfield executive questioned at ethics committee about Carney’s corporate connections,Brookfield Corporation’s chief operating officer agreed Prime Minister Mark Carney likely wouldn’t have as many conflicts to manage if he had sold off his a...,cbc.ca,2025-11-24T20:51:27.000000Z
41,Mark Carney considering Washington trip next week for World Cup draw,The Prime Minister's Office confirmed that Carney is considering travelling to D.C. for the final draw on Dec. 5 for the FIFA World Cup 2026,thestar.com,2025-11-25T13:48:34-05:00
124,Carney says new pipeline project ‘going to happen’ while promoting budget,"During an armchair talk at the Canadian Club Toronto, Carney told the audience not to worry because his government is on top of ""the pipeline stuff.""",globalnews.ca,2025-11-07T23:45:32.000000Z
326,Canada’s Extraordinary Yet Uneventful Election Draws to a Close,President Trump’s tariffs and annexation ambitions continue to loom over all other issues in a race without any moments of campaign drama.,nytimes.com,2025-04-26T09:03:19Z
101,Carney says he’ll speak with Trump ‘when it’s appropriate’ - National,Prime Minister Mark Carney said he doesn't have a,globalnews.ca,2025-11-23T20:27:03.000000Z
277,"Hoping to Jump-Start Talks, Canada to Drop Some Retaliatory Tariffs on U.S. Products",Canada’s leader said he would follow the United States in dropping tariffs against American goods covered by the existing free trade agreement.,nytimes.com,2025-08-22T16:57:38Z
23,'Nostalgia is not a strategy': Carney urges global unity at U.S.-snubbed G20 summit,"At the G20, Mark Carney warned of a global 'rupture; driven by rising protectionism, geopolitical rivalry and shifting economic power.",nationalpost.com,2025-11-23T18:54:43.000000Z
33,Liberals set to announce support measures for Canadian steel sector amid tariff war,"The measures will include new restrictions on imports from countries without a free-trade agreement with Canada, according to a government official.",thestar.com,2025-11-25T18:25:00-05:00
295,Canada’s Tax U-turn Highlights Trump Tariff Tactics,"After President Trump suspended trade talks with Canada over its controversial digital services tax, Ottawa scrapped it to get back to the negotiating table.",nytimes.com,2025-06-30T22:06:34Z
432,Carney says renegotiating CUSMA likely won't resolve all trade issues with U.S.,"Prime Minister Mark Carney says it's clear the U.S. will keep targeting certain sectors with tariffs, even after the renegotiation of the Canada-U.S.-Mexico Agr...",cbc.ca,2025-10-10T16:44:36.000000Z
240,"Alberta’s Smith supportive of new major projects, says pipeline negotiation ongoing",CALGARY — Alberta Premier Danielle Smith says shes on board with Prime Minister Mark Carney's ...,ctvnews.ca,2025-11-13T12:00:00-05:00
304,Group of 7 Mountain Summit Time,Canada is hosting the major global meeting with President Trump and other world leaders. Here’s what to expect.,nytimes.com,2025-06-14T10:00:06Z
246,PM Carney: 'The world wants Canada as the reliable supplier of critical minerals',,ctvnews.ca,2025-11-13T12:00:00-05:00
69,Will Carney's projects list have a pipeline?,"The Prime Minister is preparing to unveil the second batch of nation-building projects to be fast-tracked. While the list reportedly includes mines & LNG projects, it's unclear if it will have the pipeline Alberta is asking for.",citynews.ca,2025-11-12T17:32:00-05:00
318,Canada Rejects Statehood,The anger in Canada is evident in many other ways; Canadians have always felt close to but distinct from Americans. A hostile America was something they never imagined.,nytimes.com,2025-04-29T18:07:52Z
108,"Carney signs investment pact, launches trade talks during UAE visit - National","On Thursday, Carney announced the investment pact following a meeting with UAE President Sheikh Mohammed bin Zayed Al Nahyan, and both also launched talks for a...",globalnews.ca,2025-11-20T13:26:05.000000Z
382,Carney to announce next tranche of major projects on Thursday,"The federal government will unveil the next round of major projects that will get fast-tracked approvals later this week, Prime Minister Mark Carney said Monday...",cbc.ca,2025-11-10T18:26:40.000000Z
44,Mark Carney’s comment about not talking to Donald Trump criticized and defended,Conservative Leader Pierre Poilievre criticizes Prime Minister Mark Carney over comments made at the G20 summit that there were no burning iss…,thestar.com,2025-11-24T16:57:00-05:00
219,NDP strategist says PM Carney lacked 'a sense of urgency' in selling budget to Canadians,,ctvnews.ca,2025-11-17T12:00:00-05:00
290,"‘He’s Nuts, Your Trump.’ Canada Unites Against America.",America’s growing discord with Canada exemplifies the extraordinary damage President Trump is wreaking on the United States’ standing in the world.,nytimes.com,2025-07-13T05:00:05Z
301,Flattery or Discipline? The Difficult Task of Managing Trump.,Canada’s prime minister Mark Carney deployed both methods on the first day of the Group of 7 summit in Alberta to keep Mr. Trump focused and avoid drama.,nytimes.com,2025-06-17T00:52:28Z
83,Prime Minister Mark Carney makes hilarious joke about McDavid's contract,"Canadian Prime Minister Mark Carney addressed some of the country’s most pressing issues in Edmonton, including Connor McDavid’s contract status.",dailyhive.com,2025-09-10T12:00:00-05:00
319,Mark Carney’s Liberals Win Canada’s Election. Here Are 4 Takeaways.,The former central banker successfully convinced voters that he was the right candidate to confront President Trump’s trade war and threats to annex the country.,nytimes.com,2025-04-29T09:21:05Z
470,Ford believes Carney will designate Highway 401 tunnel as 'national interest' project,"Ontario Premier Doug Ford believes Prime Minister Mark Carney will back his idea for a tunnel under Highway 401 through the Greater Toronto Area, though it is u...",cbc.ca,2025-09-16T20:41:52.000000Z
478,Carney says there's been a 'rupture.' What's he going to do about it this fall?,"Even while Mark Carney has been accused of lowering his elbows in regards to American tariffs, he continues to frame the larger challenge facing this country in...",cbc.ca,2025-09-13T09:00:00.000000Z
280,"With Canada No Longer Able to Rely on U.S., Carney Pushes New Markets","Prime Minister Mark Carney suggested he’s unlikely to add additional retaliatory tariffs on U.S. goods, but he is trying to help affected companies develop new products and find new buyers.",nytimes.com,2025-08-05T23:57:07Z
184,Carney says Canada and India can be ‘reliable trading partners’,The prime ministers of Canada and India have agreed to launch negotiations towards a new ...,ctvnews.ca,2025-11-23T12:00:00-05:00
131,Ottawa urged to stop weapons flow to Sudan as Carney prepares UAE visit - National,"Human rights groups say they believe planes meant to carry humanitarian aid from the UAE to Sudan are regularly delivering weapons instead, including possibly C...",globalnews.ca,2025-11-03T23:34:21.000000Z
450,Former clerk of Privy Council John Hannaford to be Carney's special representative to the EU,"Prime Minister Mark Carney has created a new diplomatic position to the European Union in order to boost trade, economic security and the fight against climate ...",cbc.ca,2025-10-01T15:29:52.000000Z
284,Trump Trade Deals Threaten Canada’s Vital Auto Industry,"Recent pacts with Britain, Europe and Japan mean that autos exported from those countries and regions face lower U.S. tariffs than Canadian vehicles do.",nytimes.com,2025-07-29T21:06:02Z
473,"Carney and Poilievre exchange pleasantries, then resume an epic debate",Pierre Poilievre was back in his happy place. Mark Carney was back in the prime minister's seat. Between them lay 396 centimetres of green carpet and the future...,cbc.ca,2025-09-15T23:41:13.000000Z
133,Ford says Carney asked him to remove anti-tariff ad early ‘a couple of times’,Premier Doug Ford says Prime Minister Mark Carney asked him 'a couple of times' to pull his anti-tariff commercial after it led to a breakdown in U.S.-Canada tr...,globalnews.ca,2025-11-03T20:02:31.000000Z
8,"With federal election looming, Liberal Canadian PM accused of plagiarism while studying at Oxford: report",Prime Minister Mark Carney is embroiled in controversy after a Canadian news outlet discovered at least 10 instances of possible plagiarism in his 1995 Oxford t...,foxnews.com,2025-03-30T02:42:49.000000Z
233,Pipeline not part of Carney's project announcements,,ctvnews.ca,2025-11-14T12:00:00-05:00
374,Carney wants to boost resource development. Canada's climate legacy hangs in the balance,"At the same time that Prime Minister Mark Carney was announcing a new tranche of major projects his government wants to fast-track, including a new gas export t...",cbc.ca,2025-11-14T19:29:43.000000Z
186,Carney says Canada upholding values but drops talk of ‘feminist foreign policy’,"JOHANNESBURG — Prime Minister Mark Carney says Canada no longer has a feminist foreign policy, ...",ctvnews.ca,2025-11-23T12:00:00-05:00
349,Some B.C. Liberal MPs concerned about prospect of a new oil pipeline: sources,"With Prime Minister Mark Carney poised to sign a ""grand bargain"" with Alberta later this week, some B.C. Liberal MPs are raising concerns about Ottawa possibly ...",cbc.ca,2025-11-25T22:23:31.000000Z
476,Prime Minister Mark Carney makes a housing announcement,"Prime Minister Mark Carney is expected to announce the launch of Build Canada Homes, which will oversee federal housing programs.",cbc.ca,2025-09-14T19:00:00.000000Z
170,PM Carney to unveil new measures to protect Canada’s steel industry: sources,,ctvnews.ca,2025-11-25T12:00:00-05:00
26,Why Chinese EVs keep haunting Liberal prime ministers,Mark Carney has inherited Justin Trudeau’s nightmare.,nationalpost.com,2025-11-21T17:09:45.000000Z
419,Poilievre reacts to Carney's pre-budget speech,"Conservative Leader Pierre Poilievre holds a news conference in Ottawa to respond to Prime Minister Mark Carney's pre-budget speech, in which Carney said Canadi...",cbc.ca,2025-10-23T16:30:00.000000Z
196,Canada cuts back spending on fighting infectious diseases at G20 in South Africa,Prime Minister Mark Carney has made Canada’s first-ever cut to funding for a major program ...,ctvnews.ca,2025-11-21T12:00:00-05:00
185,Carney: No ‘burning issue’ to bring up with Trump,JOHANNESBURG — Prime Minister Mark Carney is in no hurry to resume trade talks with ...,ctvnews.ca,2025-11-23T12:00:00-05:00
79,Carney says Canada-U.S. trade talks were progressing before tariff ad,Prime Minister Mark Carney said trade talks between Canada and the U.S. were progressing before the Ontario-made ad calling out Trump's tariffs put a damper on furthering negotiations.,citynews.ca,2025-10-27T18:24:00-05:00
29,Terry Newman: Carney should mend relations with the U.S. before cozying up to China,Carney and Xi will no doubt be able to find 'common ground.' That doesn't mean they should,nationalpost.com,2025-11-18T11:00:07.000000Z
30,John Ivison: Rising prices are hitting both Trump and Carney where it hurts,Trump has had to lower tariffs on groceries. The problem for Ottawa is that prices have risen even more quickly in Canada than in the U.S.,nationalpost.com,2025-11-17T20:57:26.000000Z
352,"Ottawa, Alberta agree to broad outlines of energy deal, including support for pipeline",Prime Minister Mark Carney and Alberta Premier Danielle Smith have agreed to the broad outlines of a memorandum of understanding that would give Alberta special...,cbc.ca,2025-11-24T21:59:17.000000Z
75,Carney apologizes to Trump over Doug Ford's anti-tariff ad,"Prime Minister Mark Carney has apologized to U.S. President Donald Trump for Ontario Premier Doug Ford's controversial anti-tariff ad, which prompted Trump to scrap all trade talks with Canada. Karling Donoghue reports.",citynews.ca,2025-11-01T22:39:00-05:00
452,Carney heads to U.K. in search of investment and partners — as pressure mounts to show results,Prime Minister Mark Carney heads to the United Kingdom Thursday to attract investment and strengthen ties that he argues are key to securing Canada's future. Th...,cbc.ca,2025-09-25T09:00:00.000000Z
90,Mark Carney sends Trump a dig ahead of Toronto Blue Jays World Series,"Canadian Prime Minister Mark Carney has been hyping up the Toronto Blue Jays to Donald Trump. Less than 24 hours after the Blue Jays punched their ticket to the World Series, Carney was stopped by a Canadian Press journalist on Tuesday morning to get his thoughts. The Prime Minister is an avid sports fan and was visibly excited to answer a question about the Jays.",dailyhive.com,2025-10-21T12:00:00-05:00
121,"U.S. trade policy is ‘radically different’ now, Carney says - National","Speaking to reporters in New Brunswick, Carney said the U.S. was trying to 'shut out' Canada’s forestry products, making it important for Canada to source loc...",globalnews.ca,2025-11-10T19:22:22.000000Z
189,"CTV QP: PM Carney confirms deal with UAE, more international trade deals coming",,ctvnews.ca,2025-11-23T12:00:00-05:00
205,Carney signs UAE investment pact,,ctvnews.ca,2025-11-20T12:00:00-05:00
228,Carney in Winnipeg on Grey Cup weekend,,ctvnews.ca,2025-11-14T12:00:00-05:00
25,"Letters: Come on Carney, don't be coy about pipelines","Readers have their say on the potential new pipeline to northwest B.C., billionaire 'benefactors,' Canadians' short memories, and more",nationalpost.com,2025-11-23T10:30:12.000000Z
100,"Carney, Modi agree to revive comprehensive trade deal talks - National",Canadian and Indian prime ministers Mark Carney and Narendra Modi have agreed to work towards a new comprehensive economic partnership agreement.,globalnews.ca,2025-11-23T21:17:16.000000Z
