title,description,source,date
"Despite His Shaky French, Canada’s Prime Minister Is a Hit in Quebec","Voters are overlooking Mark Carney’s linguistic gaffes and lack of knowledge about the French-speaking province, viewing him as the most capable candidate to deal with President Trump.",nytimes.com,2025-04-19T09:01:30Z
Who Will Be Canada’s Next Prime Minister?,The April 28 election will come down to two candidates with starkly different personalities and experience: Mark Carney and Pierre Poilievre.,nytimes.com,2025-04-19T09:01:26Z
5 Takeaways From Canada’s Election Debate,Prime Minister Mark Carney was repeatedly the target of his opponents. President Trump’s threats on Canada loomed over the debate.,nytimes.com,2025-04-18T04:16:34Z
"Paper Ballots, Hand Counting, No Machines: This Is How Canada’s Election Works",Canada’s federal election is on Monday. Here are the details.,nytimes.com,2025-04-17T16:35:14Z
Canada Reschedules Political Debate That Conflicted With a Hockey Game,"A big game, but still.",nytimes.com,2025-04-16T09:40:05Z
Trump Tariffs Muddle Campaigning for Canada’s Conservatives,"Pierre Poilievre’s 25-point lead in the polls evaporated, and he struggled to switch voters’ focus to the economy, crime and other issues.",nytimes.com,2025-04-12T10:00:07Z
"Outside His Political Base, a Canadian’s Trumpian Pitch Is a Harder Sell","Pierre Poilievre, the Conservative seeking to become prime minister, fires up the faithful in Alberta, including Trump supporters, with his anti-elitist, anti-woke message.",nytimes.com,2025-04-10T09:03:01Z
"Tariffs May Make It Too Expensive to ‘Drill, Baby, Drill’","President Trump’s tariff polices have sent oil prices falling, which may push energy companies to reconsider their plans to drill.",nytimes.com,2025-04-08T19:27:07Z
"Trump, Tariffs, a New Leader: Canada’s Liberals Enjoy Early Election Lift","The Liberal Party, which not long ago seemed destined to crash in federal elections under Justin Trudeau, is experiencing a reversal of fortune. Here’s what a close review of polls shows.",nytimes.com,2025-04-06T09:01:02Z
The Canadian Political Brawler Who Had a 25-Point Lead and a Problem: Trump,"Just two months ago, Pierre Poilievre seemed destined to become Canada’s next prime minister. But his double-digit polling lead vanished with President Trump’s threat to annex Canada.",nytimes.com,2025-04-06T09:00:56Z
Trump and Tariffs Enter the Scene Only Days Into Canada’s Election Campaign,"Without advance notice to Canada, the U.S. president put the auto industry into turmoil with a 25 percent tariff.",nytimes.com,2025-03-29T10:00:08Z
Trump Tones Down His Rhetoric About Canada After Call With Its Leader,"The president and Canada’s new prime minister, Mark Carney, spoke for the first time on Friday and promised to begin negotiations on trade.",nytimes.com,2025-03-28T20:44:38Z
Canada’s Leader Calls Snap Federal Elections Amid Trump Threats,"Mark Carney, who has only been prime minister for 10 days, has called for a general election to be held on April 28.",nytimes.com,2025-03-23T16:37:39Z
"The Carney Doctrine on Trump: Demand Respect, Be Patient, Diversify","On the road with the prime minister, we learned more about his approach to President Trump.",nytimes.com,2025-03-22T10:00:08Z
‘Most European Non-European Country’: Canada Turns to Allies as Trump Threatens,"Days after becoming prime minister, Mark Carney visited Paris and London to highlight deep European friendships as his country fights back against President Trump’s tariffs and annexation talk.",nytimes.com,2025-03-17T21:50:29Z
Canada Has a New Prime Minister With a Very Hard First Assignment,"Mark Carney, a central banker turned politician, steps into his role at a crucial moment as President Trump sets his sights on Canada’s sovereignty and keeps threatening more tariffs.",nytimes.com,2025-03-14T15:29:03Z
Where Trump Is Giving Liberals a Hand,Being known as an enemy of Trump has become great politics in Canada and Mexico,nytimes.com,2025-03-12T19:00:04Z
New Canadian Leader’s Balancing Act: Negotiate With and Fight Trump,"Mark Carney will most likely be in power just a few weeks before a federal election is held. To win, he will try to convince Canadians he can take on, but also negotiate with, Trump.",nytimes.com,2025-03-10T22:21:15Z
Canada Will Have a New Prime Minister. Here’s What to Know.,"Mark Carney, a former central banker, now heads the Liberal Party and will soon lead Canada, tasked with responding to President Trump’s threats.",nytimes.com,2025-03-10T09:03:46Z
"Banker Mark Carney Wins Race to Lead Liberal Party, and Canada",The prominent central banker and investor was chosen in a crucial leadership race amid threats from President Trump. He is expected to quickly call a federal election.,nytimes.com,2025-03-09T09:01:57Z
The Liberals Choose a Leader in the Shadow of Trump’s Threats,Party members will cast their votes on Sunday in a campaign that has been overshadowed by the unsettling signals from Washington.,nytimes.com,2025-03-08T11:00:08Z
Will Canadians Warm Up to the Steely Banker Eyeing Trudeau’s Job?,"Mark Carney has pitched himself as the fix-it man who can set Canada back on track. As he seeks to lead the Liberal Party, the country’s biggest challenge may be President Trump.",nytimes.com,2025-03-07T10:02:48Z
"Banker, Investor, Prime Minister? Mark Carney Bids to Lead Canada.",The former governor of the Canadian and British central banks announced he was running to become head of the Liberal Party and prime minister.,nytimes.com,2025-01-16T20:46:14Z
Here Are Three Possible Contenders to Succeed Justin Trudeau,"Whoever replaces Mr. Trudeau as the leader of Canada’s Liberal Party will become the prime minister. Not long after they’ll face a general election, and the daunting challenge of keeping the job.",nytimes.com,2025-01-06T21:09:29Z
Justin Trudeau Is Stepping Down: What Comes Next?,"The Canadian prime minister will not leave office until the next leader of his party is chosen, which could take several months.",nytimes.com,2024-12-20T23:01:57Z
